Тренирање на DQN агент...
DQNAgent | Епизода   1 | Макс. позиција: -0.36 | Вкупна награда:    50.2 | Епсилон: 0.99
DQNAgent | Епизода   2 | Макс. позиција: -0.39 | Вкупна награда:    83.9 | Епсилон: 0.99
DQNAgent | Епизода   3 | Макс. позиција: -0.40 | Вкупна награда:    11.1 | Епсилон: 0.99
DQNAgent | Епизода   4 | Макс. позиција: -0.22 | Вкупна награда:   394.1 | Епсилон: 0.98
DQNAgent | Епизода   5 | Макс. позиција: -0.40 | Вкупна награда:    30.5 | Епсилон: 0.98
DQNAgent | Епизода   6 | Макс. позиција: -0.42 | Вкупна награда:   -20.3 | Епсилон: 0.97
DQNAgent | Епизода   7 | Макс. позиција: -0.29 | Вкупна награда:   222.7 | Епсилон: 0.97
DQNAgent | Епизода   8 | Макс. позиција: -0.36 | Вкупна награда:   169.0 | Епсилон: 0.96
DQNAgent | Епизода   9 | Макс. позиција: -0.43 | Вкупна награда:    54.4 | Епсилон: 0.96
DQNAgent | Епизода  10 | Макс. позиција: -0.40 | Вкупна награда:    87.0 | Епсилон: 0.95
DQNAgent | Епизода  11 | Макс. позиција: -0.46 | Вкупна награда:     3.6 | Епсилон: 0.95
DQNAgent | Епизода  12 | Макс. позиција: -0.30 | Вкупна награда:   310.9 | Епсилон: 0.94
DQNAgent | Епизода  13 | Макс. позиција: -0.34 | Вкупна награда:   164.9 | Епсилон: 0.94
DQNAgent | Епизода  14 | Макс. позиција: -0.38 | Вкупна награда:   208.8 | Епсилон: 0.93
DQNAgent | Епизода  15 | Макс. позиција: -0.42 | Вкупна награда:    28.3 | Епсилон: 0.93
DQNAgent | Епизода  16 | Макс. позиција: -0.42 | Вкупна награда:    57.4 | Епсилон: 0.92
DQNAgent | Епизода  17 | Макс. позиција: -0.41 | Вкупна награда:    36.8 | Епсилон: 0.92
DQNAgent | Епизода  18 | Макс. позиција: -0.46 | Вкупна награда:    -2.5 | Епсилон: 0.91
DQNAgent | Епизода  19 | Макс. позиција: -0.33 | Вкупна награда:   213.0 | Епсилон: 0.91
DQNAgent | Епизода  20 | Макс. позиција: -0.41 | Вкупна награда:    62.3 | Епсилон: 0.90
DQNAgent | Епизода  21 | Макс. позиција: -0.44 | Вкупна награда:    38.8 | Епсилон: 0.90
DQNAgent | Епизода  22 | Макс. позиција: -0.36 | Вкупна награда:   135.4 | Епсилон: 0.90
DQNAgent | Епизода  23 | Макс. позиција: -0.30 | Вкупна награда:   283.5 | Епсилон: 0.89
DQNAgent | Епизода  24 | Макс. позиција: -0.41 | Вкупна награда:   117.9 | Епсилон: 0.89
DQNAgent | Епизода  25 | Макс. позиција: -0.40 | Вкупна награда:   135.3 | Епсилон: 0.88
DQNAgent | Епизода  26 | Макс. позиција: -0.40 | Вкупна награда:    61.1 | Епсилон: 0.88
DQNAgent | Епизода  27 | Макс. позиција: -0.47 | Вкупна награда:    52.7 | Епсилон: 0.87
DQNAgent | Епизода  28 | Макс. позиција: -0.47 | Вкупна награда:    11.1 | Епсилон: 0.87
DQNAgent | Епизода  29 | Макс. позиција: -0.36 | Вкупна награда:   266.1 | Епсилон: 0.86
DQNAgent | Епизода  30 | Макс. позиција: -0.35 | Вкупна награда:   294.6 | Епсилон: 0.86
DQNAgent | Епизода  31 | Макс. позиција: -0.46 | Вкупна награда:    51.4 | Епсилон: 0.86
DQNAgent | Епизода  32 | Макс. позиција: -0.35 | Вкупна награда:   140.6 | Епсилон: 0.85
DQNAgent | Епизода  33 | Макс. позиција: -0.46 | Вкупна награда:     6.6 | Епсилон: 0.85
DQNAgent | Епизода  34 | Макс. позиција: -0.43 | Вкупна награда:    55.0 | Епсилон: 0.84
DQNAgent | Епизода  35 | Макс. позиција: -0.42 | Вкупна награда:    55.3 | Епсилон: 0.84
DQNAgent | Епизода  36 | Макс. позиција: -0.35 | Вкупна награда:   249.9 | Епсилон: 0.83
DQNAgent | Епизода  37 | Макс. позиција: -0.43 | Вкупна награда:    65.3 | Епсилон: 0.83
DQNAgent | Епизода  38 | Макс. позиција: -0.49 | Вкупна награда:    39.2 | Епсилон: 0.83
DQNAgent | Епизода  39 | Макс. позиција: -0.38 | Вкупна награда:   222.8 | Епсилон: 0.82
DQNAgent | Епизода  40 | Макс. позиција: -0.46 | Вкупна награда:    55.8 | Епсилон: 0.82
DQNAgent | Епизода  41 | Макс. позиција: -0.28 | Вкупна награда:   522.9 | Епсилон: 0.81
DQNAgent | Епизода  42 | Макс. позиција: -0.32 | Вкупна награда:   345.3 | Епсилон: 0.81
DQNAgent | Епизода  43 | Макс. позиција: -0.49 | Вкупна награда:    47.5 | Епсилон: 0.81
DQNAgent | Епизода  44 | Макс. позиција: -0.39 | Вкупна награда:   177.5 | Епсилон: 0.80
DQNAgent | Епизода  45 | Макс. позиција: -0.42 | Вкупна награда:   126.8 | Епсилон: 0.80
DQNAgent | Епизода  46 | Макс. позиција: -0.34 | Вкупна награда:   391.0 | Епсилон: 0.79
DQNAgent | Епизода  47 | Макс. позиција: -0.45 | Вкупна награда:    98.8 | Епсилон: 0.79
DQNAgent | Епизода  48 | Макс. позиција: -0.43 | Вкупна награда:   180.7 | Епсилон: 0.79
DQNAgent | Епизода  49 | Макс. позиција: -0.44 | Вкупна награда:   105.7 | Епсилон: 0.78
DQNAgent | Епизода  50 | Макс. позиција: -0.17 | Вкупна награда:   490.7 | Епсилон: 0.78
DQNAgent | Епизода  51 | Макс. позиција: -0.34 | Вкупна награда:   129.7 | Епсилон: 0.77
DQNAgent | Епизода  52 | Макс. позиција: -0.42 | Вкупна награда:   116.4 | Епсилон: 0.77
DQNAgent | Епизода  53 | Макс. позиција: -0.50 | Вкупна награда:    16.7 | Епсилон: 0.77
