Тренирање DQN...
Епизода 1: Награда = 120.0, Епсилон = 0.8449
Епизода 2: Награда = 140.0, Епсилон = 0.6750
Епизода 3: Награда = 310.0, Епсилон = 0.4997
Епизода 4: Награда = 330.0, Епсилон = 0.3929
Епизода 5: Награда = 420.0, Епсилон = 0.2983
Епизода 6: Награда = 580.0, Епсилон = 0.2347
Епизода 7: Награда = 470.0, Епсилон = 0.1836
Епизода 8: Награда = 410.0, Епсилон = 0.1399
Епизода 9: Награда = 300.0, Епсилон = 0.1051
Епизода 10: Награда = 300.0, Епсилон = 0.1000
Епизода 11: Награда = 460.0, Епсилон = 0.1000
Епизода 12: Награда = 490.0, Епсилон = 0.1000
Епизода 13: Награда = 210.0, Епсилон = 0.1000
Епизода 14: Награда = 260.0, Епсилон = 0.1000
Епизода 15: Награда = 590.0, Епсилон = 0.1000
Епизода 16: Награда = 320.0, Епсилон = 0.1000
Епизода 17: Награда = 810.0, Епсилон = 0.1000
Епизода 18: Награда = 390.0, Епсилон = 0.1000
Епизода 19: Награда = 640.0, Епсилон = 0.1000
Епизода 20: Награда = 480.0, Епсилон = 0.1000
Епизода 21: Награда = 760.0, Епсилон = 0.1000
Епизода 22: Награда = 1150.0, Епсилон = 0.1000
Епизода 23: Награда = 640.0, Епсилон = 0.1000
Епизода 24: Награда = 290.0, Епсилон = 0.1000
Епизода 25: Награда = 130.0, Епсилон = 0.1000
Епизода 26: Награда = 550.0, Епсилон = 0.1000
Епизода 27: Награда = 210.0, Епсилон = 0.1000
Епизода 28: Награда = 1110.0, Епсилон = 0.1000
Епизода 29: Награда = 440.0, Епсилон = 0.1000
Епизода 30: Награда = 460.0, Епсилон = 0.1000
Епизода 31: Награда = 60.0, Епсилон = 0.1000
Епизода 32: Награда = 440.0, Епсилон = 0.1000
Епизода 33: Награда = 180.0, Епсилон = 0.1000
Епизода 34: Награда = 220.0, Епсилон = 0.1000
Епизода 35: Награда = 560.0, Епсилон = 0.1000
Епизода 36: Награда = 610.0, Епсилон = 0.1000
Епизода 37: Награда = 250.0, Епсилон = 0.1000
Епизода 38: Награда = 350.0, Епсилон = 0.1000
Епизода 39: Награда = 400.0, Епсилон = 0.1000
Епизода 40: Награда = 320.0, Епсилон = 0.1000
Епизода 41: Награда = 520.0, Епсилон = 0.1000
Епизода 42: Награда = 310.0, Епсилон = 0.1000
Епизода 43: Награда = 190.0, Епсилон = 0.1000
Епизода 44: Награда = 470.0, Епсилон = 0.1000
Епизода 45: Награда = 890.0, Епсилон = 0.1000
Епизода 46: Награда = 200.0, Епсилон = 0.1000
Епизода 47: Награда = 440.0, Епсилон = 0.1000
Епизода 48: Награда = 380.0, Епсилон = 0.1000
Епизода 49: Награда = 290.0, Епсилон = 0.1000
Епизода 50: Награда = 1200.0, Епсилон = 0.1000
Просечна награда (DQN): 441.0
Најдобра: 50 со награда 1200.0

Тренирање Dueling DQN...
Епизода 1: Награда = 320.0, Епсилон = 0.7660
Епизода 2: Награда = 200.0, Епсилон = 0.6010
Епизода 3: Награда = 440.0, Епсилон = 0.4558
Епизода 4: Награда = 230.0, Епсилон = 0.3678
Епизода 5: Награда = 290.0, Епсилон = 0.3013
Епизода 6: Награда = 320.0, Епсилон = 0.2359
Епизода 7: Награда = 560.0, Епсилон = 0.1807
Епизода 8: Награда = 600.0, Епсилон = 0.1236
Епизода 9: Награда = 320.0, Епсилон = 0.1020
Епизода 10: Награда = 1000.0, Епсилон = 0.1000
Епизода 11: Награда = 550.0, Епсилон = 0.1000
Епизода 12: Награда = 360.0, Епсилон = 0.1000
Епизода 13: Награда = 250.0, Епсилон = 0.1000
Епизода 14: Награда = 1200.0, Епсилон = 0.1000
Епизода 15: Награда = 720.0, Епсилон = 0.1000
Епизода 16: Награда = 280.0, Епсилон = 0.1000
Епизода 17: Награда = 2810.0, Епсилон = 0.1000
Епизода 18: Награда = 550.0, Епсилон = 0.1000
Епизода 19: Награда = 240.0, Епсилон = 0.1000
Епизода 20: Награда = 380.0, Епсилон = 0.1000
Епизода 21: Награда = 1060.0, Епсилон = 0.1000
Епизода 22: Награда = 230.0, Епсилон = 0.1000
Епизода 23: Награда = 580.0, Епсилон = 0.1000
Епизода 24: Награда = 180.0, Епсилон = 0.1000
Епизода 25: Награда = 470.0, Епсилон = 0.1000
Епизода 26: Награда = 180.0, Епсилон = 0.1000
Епизода 27: Награда = 250.0, Епсилон = 0.1000
Епизода 28: Награда = 180.0, Епсилон = 0.1000
Епизода 29: Награда = 270.0, Епсилон = 0.1000
Епизода 30: Награда = 180.0, Епсилон = 0.1000
Епизода 31: Награда = 220.0, Епсилон = 0.1000
Епизода 32: Награда = 350.0, Епсилон = 0.1000
Епизода 33: Награда = 190.0, Епсилон = 0.1000
Епизода 34: Награда = 340.0, Епсилон = 0.1000
Епизода 35: Награда = 340.0, Епсилон = 0.1000
Епизода 36: Награда = 350.0, Епсилон = 0.1000
Епизода 37: Награда = 470.0, Епсилон = 0.1000
Епизода 38: Награда = 610.0, Епсилон = 0.1000
Епизода 39: Награда = 680.0, Епсилон = 0.1000
Епизода 40: Награда = 490.0, Епсилон = 0.1000
Епизода 41: Награда = 360.0, Епсилон = 0.1000
Епизода 42: Награда = 360.0, Епсилон = 0.1000
Епизода 43: Награда = 630.0, Епсилон = 0.1000
Епизода 44: Награда = 290.0, Епсилон = 0.1000
Епизода 45: Награда = 320.0, Епсилон = 0.1000
Епизода 46: Награда = 500.0, Епсилон = 0.1000
Епизода 47: Награда = 510.0, Епсилон = 0.1000
Епизода 48: Награда = 1100.0, Епсилон = 0.1000
Епизода 49: Награда = 660.0, Епсилон = 0.1000
Епизода 50: Награда = 520.0, Епсилон = 0.1000
Просечна награда (Dueling DQN): 489.8
Најдобар Dueling DQN 17 со награда 2810.0

Тестирање DQN...
Награда = 300.0
Тестирање Dueling DQN...
Награда = 270.0

--------------------------------------------------------------------------------
Бидејќи многу долго би траело на 100 итерации, затоа направив само на 50. Во оваа околина подобар испадна Dueling DQN.
